i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,C,-50,0,5333.3,0.602,E8,19.4,9789.1,7110.3,0.365
1,C,50,0,5333.3,0.461,E8,19.4,9726.6,6823.3,0.355
2,C,-100,0,5333.3,0.419,E8,19.4,5898.4,6291.2,0.377
3,C,100,0,None,0.0,None,None,9156.2,6417.2,0.376
4,C,-150,0,5333.3,0.337,E8,19.4,5718.8,6485.5,0.387
5,C,150,0,5333.3,0.301,E8,19.4,921.9,6279.2,0.379
6,C,-200,0,None,0.0,None,None,960.9,6288.9,0.444
7,C,200,0,None,0.0,None,None,1085.9,6506.2,0.355
8,C,-300,0,None,0.0,None,None,1156.2,5567.1,0.383
9,C,300,0,4571.4,0.463,D8,-47.5,9687.5,7517.8,0.22
10,C,-400,0,4571.4,0.335,D8,-47.5,4953.1,6071.5,0.33
11,C,400,0,4571.4,0.504,D8,-47.5,9765.6,7742.3,0.19
12,C,-500,0,5333.3,0.397,E8,19.4,4953.1,6325.2,0.318
13,C,500,0,4571.4,0.439,D8,-47.5,9820.3,7759.1,0.178
14,C,-50,0,5333.3,0.55,E8,19.4,9765.6,7141.2,0.284
15,C,50,0,4571.4,0.486,D8,-47.5,9648.4,7050.4,0.295
16,C,-100,0,5333.3,0.426,E8,19.4,5718.8,6440.7,0.349
17,C,100,0,4571.4,0.322,D8,-47.5,9773.4,6661.7,0.346
18,C,-150,0,5333.3,0.346,E8,19.4,9773.4,6723.9,0.406
19,C,150,0,None,0.0,None,None,937.5,6507.7,0.337
20,C,-200,0,5333.3,0.384,E8,19.4,1062.5,5929.0,0.39
21,C,200,0,None,0.0,None,None,1117.2,6548.1,0.339
22,C,-300,0,None,0.0,None,None,1187.5,6016.7,0.38
23,C,300,0,4571.4,0.401,D8,-47.5,9804.7,7964.1,0.2
24,C,-400,0,5333.3,0.378,E8,19.4,4992.2,6261.6,0.337
25,C,400,0,4571.4,0.386,D8,-47.5,9875.0,7795.4,0.196
26,C,-500,0,5333.3,0.374,E8,19.4,5031.2,6392.7,0.315
27,C,500,0,4571.4,0.357,D8,-47.5,5414.1,7608.3,0.207
28,C,-50,0,5333.3,0.505,E8,19.4,9757.8,7512.0,0.288
29,C,50,0,4571.4,0.475,D8,-47.5,9750.0,7375.1,0.288
30,C,-100,0,5333.3,0.389,E8,19.4,9734.4,6951.6,0.328
31,C,100,0,4571.4,0.451,D8,-47.5,9625.0,7011.8,0.313
32,C,-150,0,5333.3,0.381,E8,19.4,898.4,6642.3,0.383
33,C,150,0,4571.4,0.4,D8,-47.5,9656.2,6921.9,0.299
34,C,-200,0,5333.3,0.32,E8,19.4,1078.1,6050.7,0.372
35,C,200,0,4571.4,0.311,D8,-47.5,9671.9,6976.9,0.347
36,C,-300,0,5333.3,0.354,E8,19.4,5632.8,6079.4,0.351
37,C,300,0,4571.4,0.417,D8,-47.5,9968.8,7432.8,0.248
38,C,-400,0,5333.3,0.379,E8,19.4,5007.8,6488.9,0.307
39,C,400,0,4571.4,0.397,D8,-47.5,9976.6,7445.4,0.226
40,C,-500,0,5333.3,0.361,E8,19.4,6429.7,6550.3,0.242
41,C,500,0,4571.4,0.359,D8,-47.5,9992.2,7573.0,0.2
