i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,U,2,0,None,0.0,None,None,1828.1,1717.2,0.05
1,D,2,0,None,0.0,None,None,640.6,1564.5,0.044
2,U,2,0,2285.7,0.717,D7,-47.5,1882.8,1687.3,0.046
3,D,2,0,None,0.0,None,None,1789.1,1466.5,0.04
4,U,2,0,None,0.0,None,None,507.8,1410.2,0.043
5,D,2,0,None,0.0,None,None,898.4,1512.3,0.04
6,U,2,0,None,0.0,None,None,523.4,1689.7,0.054
7,D,2,0,None,0.0,None,None,500.0,1591.5,0.044
8,U,2,0,None,0.0,None,None,718.8,1556.9,0.049
9,D,2,0,None,0.0,None,None,1320.3,1653.2,0.049
10,U,2,0,450.7,0.634,A4,41.6,500.0,1524.3,0.04
11,D,2,0,None,0.0,None,None,515.6,1525.1,0.047
12,U,2,0,None,0.0,None,None,1789.1,1607.9,0.044
13,D,2,0,None,0.0,None,None,507.8,1426.1,0.038
14,U,2,0,None,0.0,None,None,1789.1,1654.3,0.053
15,D,2,0,None,0.0,None,None,1789.1,1590.4,0.055
16,U,4,0,None,0.0,None,None,898.4,1598.6,0.049
17,D,4,0,None,0.0,None,None,1789.1,1550.8,0.045
18,U,4,0,None,0.0,None,None,1882.8,1565.4,0.043
19,D,4,0,None,0.0,None,None,515.6,1450.5,0.043
20,U,4,0,None,0.0,None,None,507.8,1437.0,0.041
21,D,4,0,None,0.0,None,None,1195.3,1594.9,0.043
22,U,4,0,None,0.0,None,None,507.8,1523.1,0.052
23,D,4,0,None,0.0,None,None,859.4,1531.1,0.044
24,U,4,0,None,0.0,None,None,515.6,1528.0,0.045
25,D,4,0,None,0.0,None,None,1320.3,1553.2,0.041
26,U,4,0,None,0.0,None,None,523.4,1508.1,0.045
27,D,4,0,None,0.0,None,None,1789.1,1537.1,0.043
28,U,4,0,None,0.0,None,None,500.0,1463.3,0.041
29,D,4,0,None,0.0,None,None,500.0,1475.3,0.043
30,U,4,0,None,0.0,None,None,500.0,1475.1,0.041
31,D,4,0,2285.7,0.865,D7,-47.5,1789.1,1662.3,0.049
32,U,6,0,None,0.0,None,None,507.8,1533.5,0.048
33,D,6,0,None,0.0,None,None,734.4,1519.4,0.05
34,U,6,0,None,0.0,None,None,531.2,1590.9,0.056
35,D,6,0,None,0.0,None,None,1187.5,1521.8,0.044
36,U,6,0,615.4,0.585,D#5,-19.2,1195.3,1498.0,0.038
37,D,6,0,None,0.0,None,None,1320.3,1627.4,0.05
38,U,6,0,None,0.0,None,None,507.8,1586.6,0.052
39,D,6,0,None,0.0,None,None,500.0,1589.8,0.049
40,U,6,0,None,0.0,None,None,507.8,1465.4,0.044
41,D,6,0,None,0.0,None,None,500.0,1652.1,0.057
42,U,6,0,None,0.0,None,None,1789.1,1593.1,0.048
43,D,6,0,None,0.0,None,None,1789.1,1658.7,0.06
44,U,6,0,None,0.0,None,None,726.6,1568.9,0.047
45,D,6,0,None,0.0,None,None,500.0,1489.6,0.05
46,U,6,0,None,0.0,None,None,656.2,1532.4,0.047
47,D,6,0,None,0.0,None,None,500.0,1599.0,0.055
48,U,8,0,None,0.0,None,None,500.0,1587.8,0.051
49,D,8,0,None,0.0,None,None,1789.1,1642.3,0.058
50,U,8,0,None,0.0,None,None,1789.1,1606.0,0.053
51,D,8,0,None,0.0,None,None,726.6,1525.0,0.049
52,U,8,0,None,0.0,None,None,1851.6,1656.9,0.054
53,D,8,0,None,0.0,None,None,1789.1,1605.9,0.056
54,U,8,0,None,0.0,None,None,500.0,1512.8,0.047
55,D,8,0,None,0.0,None,None,1328.1,1636.4,0.055
56,U,8,0,None,0.0,None,None,523.4,1567.0,0.052
57,D,8,0,None,0.0,None,None,507.8,1491.9,0.054
58,U,8,0,None,0.0,None,None,1789.1,1591.2,0.051
59,D,8,0,None,0.0,None,None,1195.3,1669.4,0.055
60,U,8,0,None,0.0,None,None,507.8,1557.1,0.056
61,D,8,0,None,0.0,None,None,718.8,1687.1,0.06
62,U,8,0,None,0.0,None,None,1796.9,1685.1,0.052
63,D,8,0,None,0.0,None,None,507.8,1563.3,0.049
64,U,12,0,None,0.0,None,None,507.8,1704.9,0.068
65,D,12,0,None,0.0,None,None,1195.3,1582.4,0.063
66,U,12,0,None,0.0,None,None,515.6,1716.4,0.068
67,D,12,0,None,0.0,None,None,507.8,1546.3,0.053
68,U,12,0,None,0.0,None,None,1492.2,1710.2,0.068
69,D,12,0,2285.7,0.779,D7,-47.5,1851.6,1750.2,0.061
70,U,12,0,None,0.0,None,None,507.8,1576.3,0.06
71,D,12,0,None,0.0,None,None,507.8,1597.6,0.065
72,U,12,0,None,0.0,None,None,500.0,1667.1,0.065
73,D,12,0,None,0.0,None,None,1789.1,1673.3,0.059
74,U,12,0,None,0.0,None,None,500.0,1896.2,0.08
75,D,12,0,None,0.0,None,None,726.6,1793.3,0.069
76,U,12,0,2285.7,0.715,D7,-47.5,1875.0,1822.8,0.071
77,D,12,0,None,0.0,None,None,500.0,1665.8,0.071
78,U,12,0,None,0.0,None,None,898.4,1665.3,0.065
79,D,12,0,None,0.0,None,None,507.8,1625.6,0.064
