i,type,p1,p2,freq_hz,confidence,note,cents_off
0,P,5,0,4000.0,0.992,B7,21.3
1,P,5,5,4000.0,0.992,B7,21.3
2,P,5,10,4000.0,0.993,B7,21.3
3,P,5,20,4000.0,0.99,B7,21.3
4,P,10,0,4000.0,0.992,B7,21.3
5,P,10,5,4000.0,0.99,B7,21.3
6,P,10,10,4000.0,0.988,B7,21.3
7,P,10,20,4000.0,0.952,B7,21.3
8,P,20,0,4000.0,0.988,B7,21.3
9,P,20,5,4000.0,0.989,B7,21.3
10,P,20,10,2285.7,0.929,D7,-47.5
11,P,20,20,2285.7,0.884,D7,-47.5
12,P,30,0,4000.0,0.992,B7,21.3
13,P,30,5,2285.7,0.91,D7,-47.5
14,P,30,10,2285.7,0.599,D7,-47.5
15,P,30,20,2285.7,0.683,D7,-47.5
16,P,45,0,4000.0,0.994,B7,21.3
17,P,45,5,3200.0,0.803,G7,35.0
18,P,45,10,2285.7,0.497,D7,-47.5
19,P,45,20,2285.7,0.797,D7,-47.5
20,P,60,0,4000.0,0.989,B7,21.3
21,P,60,5,3200.0,0.484,G7,35.0
22,P,60,10,3200.0,0.506,G7,35.0
23,P,60,20,2285.7,0.806,D7,-47.5
24,P,90,0,3200.0,0.967,G7,35.0
25,P,90,5,3200.0,0.328,G7,35.0
26,P,90,10,3200.0,0.475,G7,35.0
27,P,90,20,2285.7,0.753,D7,-47.5
28,P,120,0,2285.7,0.853,D7,-47.5
29,P,120,5,3200.0,0.374,G7,35.0
30,P,120,10,3200.0,0.475,G7,35.0
31,P,120,20,3200.0,0.715,G7,35.0
32,P,150,0,3200.0,0.681,G7,35.0
33,P,150,5,3200.0,0.319,G7,35.0
34,P,150,10,3200.0,0.503,G7,35.0
35,P,150,20,3200.0,0.794,G7,35.0
36,P,5,0,4000.0,0.993,B7,21.3
37,P,5,5,4000.0,0.991,B7,21.3
38,P,5,10,4000.0,0.986,B7,21.3
39,P,5,20,4000.0,0.993,B7,21.3
40,P,10,0,4000.0,0.992,B7,21.3
41,P,10,5,4000.0,0.988,B7,21.3
42,P,10,10,4000.0,0.989,B7,21.3
43,P,10,20,4000.0,0.962,B7,21.3
44,P,20,0,4000.0,0.989,B7,21.3
45,P,20,5,4000.0,0.986,B7,21.3
46,P,20,10,2285.7,0.95,D7,-47.5
47,P,20,20,2285.7,0.85,D7,-47.5
48,P,30,0,4000.0,0.995,B7,21.3
49,P,30,5,3200.0,0.931,G7,35.0
50,P,30,10,2285.7,0.641,D7,-47.5
51,P,30,20,2285.7,0.812,D7,-47.5
52,P,45,0,4000.0,0.994,B7,21.3
53,P,45,5,3200.0,0.774,G7,35.0
54,P,45,10,2285.7,0.568,D7,-47.5
55,P,45,20,2285.7,0.721,D7,-47.5
56,P,60,0,4000.0,0.99,B7,21.3
57,P,60,5,3200.0,0.395,G7,35.0
58,P,60,10,3200.0,0.495,G7,35.0
59,P,60,20,2285.7,0.757,D7,-47.5
60,P,90,0,2285.7,0.959,D7,-47.5
61,P,90,5,3200.0,0.375,G7,35.0
62,P,90,10,3200.0,0.565,G7,35.0
63,P,90,20,3200.0,0.769,G7,35.0
64,P,120,0,2285.7,0.827,D7,-47.5
65,P,120,5,3200.0,0.363,G7,35.0
66,P,120,10,3200.0,0.471,G7,35.0
67,P,120,20,3200.0,0.747,G7,35.0
68,P,150,0,3200.0,0.628,G7,35.0
69,P,150,5,3200.0,0.327,G7,35.0
70,P,150,10,3200.0,0.479,G7,35.0
71,P,150,20,3200.0,0.74,G7,35.0
72,P,5,0,4000.0,0.991,B7,21.3
73,P,5,5,4000.0,0.993,B7,21.3
74,P,5,10,4000.0,0.99,B7,21.3
75,P,5,20,4000.0,0.995,B7,21.3
76,P,10,0,4000.0,0.993,B7,21.3
77,P,10,5,4000.0,0.994,B7,21.3
78,P,10,10,4000.0,0.991,B7,21.3
79,P,10,20,4000.0,0.961,B7,21.3
80,P,20,0,4000.0,0.991,B7,21.3
81,P,20,5,4000.0,0.982,B7,21.3
82,P,20,10,2285.7,0.944,D7,-47.5
83,P,20,20,2285.7,0.804,D7,-47.5
84,P,30,0,4000.0,0.99,B7,21.3
85,P,30,5,3200.0,0.898,G7,35.0
86,P,30,10,2285.7,0.584,D7,-47.5
87,P,30,20,2285.7,0.672,D7,-47.5
88,P,45,0,4000.0,0.993,B7,21.3
89,P,45,5,3200.0,0.695,G7,35.0
90,P,45,10,3200.0,0.61,G7,35.0
91,P,45,20,2285.7,0.732,D7,-47.5
92,P,60,0,4000.0,0.992,B7,21.3
93,P,60,5,3200.0,0.438,G7,35.0
94,P,60,10,3200.0,0.477,G7,35.0
95,P,60,20,2285.7,0.7,D7,-47.5
96,P,90,0,3200.0,0.965,G7,35.0
97,P,90,5,3200.0,0.313,G7,35.0
98,P,90,10,3200.0,0.506,G7,35.0
99,P,90,20,2285.7,0.698,D7,-47.5
100,P,120,0,3200.0,0.924,G7,35.0
101,P,120,5,3200.0,0.329,G7,35.0
102,P,120,10,3200.0,0.506,G7,35.0
103,P,120,20,3200.0,0.747,G7,35.0
104,P,150,0,3200.0,0.606,G7,35.0
105,P,150,5,3200.0,0.295,G7,35.0
106,P,150,10,3200.0,0.51,G7,35.0
107,P,150,20,3200.0,0.762,G7,35.0
