i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,P,5,0,None,0.0,None,None,2718.8,3745.4,0.523
1,P,5,5,None,0.0,None,None,2742.2,3643.1,0.492
2,P,5,10,None,0.0,None,None,2718.8,4346.8,0.597
3,P,5,20,None,0.0,None,None,2734.4,3723.3,0.514
4,P,10,0,None,0.0,None,None,2742.2,3811.5,0.533
5,P,10,5,None,0.0,None,None,2718.8,5705.4,0.565
6,P,10,10,None,0.0,None,None,8921.9,7010.6,0.219
7,P,10,20,4571.4,0.834,D8,-47.5,8812.5,7094.6,0.197
8,P,20,0,None,0.0,None,None,2742.2,4130.7,0.565
9,P,20,5,8000.0,0.941,B8,21.3,8992.2,8336.5,0.21
10,P,20,10,4571.4,0.556,D8,-47.5,9039.1,8108.1,0.257
11,P,20,20,4571.4,0.423,D8,-47.5,8765.6,7530.5,0.217
12,P,30,0,None,0.0,None,None,2742.2,5238.9,0.62
13,P,30,5,8000.0,0.663,B8,21.3,9156.2,8242.4,0.214
14,P,30,10,8000.0,0.411,B8,21.3,8742.2,8208.8,0.258
15,P,30,20,8000.0,0.414,B8,21.3,8953.1,7699.0,0.226
16,P,45,0,None,0.0,None,None,7726.6,7755.9,0.465
17,P,45,5,8000.0,0.461,B8,21.3,9164.1,8414.2,0.265
18,P,45,10,8000.0,0.41,B8,21.3,8953.1,8250.5,0.291
19,P,45,20,8000.0,0.429,B8,21.3,8921.9,7987.3,0.287
20,P,60,0,8000.0,0.986,B8,21.3,9062.5,8186.8,0.249
21,P,60,5,8000.0,0.488,B8,21.3,8976.6,8427.0,0.284
22,P,60,10,8000.0,0.407,B8,21.3,8812.5,8297.9,0.298
23,P,60,20,8000.0,0.443,B8,21.3,8835.9,7966.3,0.303
24,P,90,0,8000.0,0.797,B8,21.3,8039.1,9102.8,0.286
25,P,90,5,8000.0,0.476,B8,21.3,9031.2,8505.7,0.308
26,P,90,10,8000.0,0.437,B8,21.3,9000.0,8376.7,0.333
27,P,90,20,8000.0,0.477,B8,21.3,8765.6,8135.0,0.331
28,P,120,0,8000.0,0.457,B8,21.3,8742.2,9818.3,0.372
29,P,120,5,8000.0,0.477,B8,21.3,8875.0,8659.9,0.313
30,P,120,10,8000.0,0.436,B8,21.3,8937.5,8410.5,0.345
31,P,120,20,8000.0,0.461,B8,21.3,8984.4,8156.8,0.336
32,P,150,0,4571.4,0.191,D8,-47.5,13585.9,10180.9,0.374
33,P,150,5,8000.0,0.487,B8,21.3,8531.2,8684.7,0.319
34,P,150,10,8000.0,0.433,B8,21.3,9000.0,8448.6,0.339
35,P,150,20,8000.0,0.455,B8,21.3,9125.0,8164.3,0.34
36,P,5,0,None,0.0,None,None,2765.6,3560.3,0.479
37,P,5,5,None,0.0,None,None,2742.2,3146.9,0.357
38,P,5,10,None,0.0,None,None,2718.8,3774.3,0.53
39,P,5,20,None,0.0,None,None,2734.4,3713.5,0.513
40,P,10,0,None,0.0,None,None,2742.2,4223.0,0.566
41,P,10,5,None,0.0,None,None,2718.8,5356.3,0.549
42,P,10,10,8000.0,0.972,B8,21.3,8914.1,7753.1,0.217
43,P,10,20,4571.4,0.812,D8,-47.5,8835.9,7060.7,0.193
44,P,20,0,None,0.0,None,None,2734.4,4606.2,0.613
45,P,20,5,8000.0,0.962,B8,21.3,8953.1,8314.8,0.204
46,P,20,10,4571.4,0.584,D8,-47.5,9171.9,7945.2,0.239
47,P,20,20,4571.4,0.394,D8,-47.5,8726.6,7563.5,0.226
48,P,30,0,None,0.0,None,None,8875.0,7199.7,0.477
49,P,30,5,8000.0,0.615,B8,21.3,8710.9,8413.9,0.192
50,P,30,10,8000.0,0.415,B8,21.3,8906.2,8113.9,0.26
51,P,30,20,8000.0,0.372,B8,21.3,8851.6,7557.4,0.223
52,P,45,0,None,0.0,None,None,8984.4,7990.5,0.327
53,P,45,5,8000.0,0.478,B8,21.3,9132.8,8493.8,0.243
54,P,45,10,8000.0,0.402,B8,21.3,8609.4,8188.4,0.298
55,P,45,20,8000.0,0.408,B8,21.3,8875.0,7903.2,0.292
56,P,60,0,8000.0,0.973,B8,21.3,8531.2,8365.3,0.22
57,P,60,5,8000.0,0.514,B8,21.3,8757.8,8484.9,0.27
58,P,60,10,4000.0,0.04,B7,21.3,8335.9,7727.6,0.938
59,P,60,20,8000.0,0.251,B8,21.3,531.2,7537.2,0.962
60,P,90,0,None,0.0,None,None,507.8,6241.8,0.839
61,P,90,5,6400.0,0.046,G8,35.0,9062.5,7672.0,0.928
62,P,90,10,67.4,0.03,C#2,-48.8,8210.9,7847.7,0.959
63,P,90,20,8000.0,0.261,B8,21.3,500.0,7488.0,0.973
64,P,120,0,None,0.0,None,None,523.4,7435.8,0.88
65,P,120,5,90.4,0.028,F#2,-39.8,2070.3,7653.9,0.934
66,P,120,10,3200.0,0.029,G7,35.0,2117.2,7753.3,0.97
67,P,120,20,5333.3,0.249,E8,19.4,539.1,7528.8,0.979
68,P,150,0,None,0.0,None,None,14898.4,7173.0,0.859
69,P,150,5,304.8,0.03,D#4,-35.8,9625.0,7794.3,0.949
70,P,150,10,3200.0,0.036,G7,35.0,14492.2,7714.7,0.977
71,P,150,20,8000.0,0.23,B8,21.3,593.8,7539.1,0.982
72,P,5,0,None,0.0,None,None,570.3,5097.7,0.72
73,P,5,5,None,0.0,None,None,531.2,5078.6,0.698
74,P,5,10,None,0.0,None,None,531.2,5001.3,0.706
75,P,5,20,None,0.0,None,None,523.4,5037.5,0.728
76,P,10,0,None,0.0,None,None,523.4,4854.6,0.705
77,P,10,5,None,0.0,None,None,507.8,5224.1,0.741
78,P,10,10,None,0.0,None,None,515.6,5720.4,0.77
79,P,10,20,None,0.0,None,None,539.1,6579.3,0.84
80,P,20,0,None,0.0,None,None,515.6,5079.5,0.724
81,P,20,5,None,0.0,None,None,523.4,5735.3,0.796
82,P,20,10,None,0.0,None,None,531.2,6625.9,0.856
83,P,20,20,5333.3,0.326,E8,19.4,5968.8,7600.1,0.914
84,P,30,0,None,0.0,None,None,578.1,5220.4,0.751
85,P,30,5,None,0.0,None,None,546.9,6558.3,0.843
86,P,30,10,None,0.0,None,None,546.9,7118.4,0.894
87,P,30,20,5333.3,0.36,E8,19.4,539.1,7482.0,0.918
88,P,45,0,None,0.0,None,None,515.6,5473.8,0.77
89,P,45,5,None,0.0,None,None,531.2,6848.3,0.872
90,P,45,10,5333.3,0.102,E8,19.4,625.0,7621.3,0.93
91,P,45,20,5333.3,0.314,E8,19.4,507.8,7460.9,0.948
92,P,60,0,None,0.0,None,None,531.2,5773.1,0.794
93,P,60,5,None,0.0,None,None,585.9,7700.4,0.91
94,P,60,10,3200.0,0.055,G7,35.0,882.8,7757.2,0.933
95,P,60,20,8000.0,0.324,B8,21.3,554.7,7495.7,0.957
96,P,90,0,None,0.0,None,None,515.6,6001.4,0.805
97,P,90,5,4000.0,0.049,B7,21.3,13085.9,7621.8,0.928
98,P,90,10,5333.3,0.05,E8,19.4,2625.0,7783.0,0.96
99,P,90,20,5333.3,0.315,E8,19.4,523.4,7456.9,0.97
100,P,120,0,None,0.0,None,None,679.7,7221.0,0.847
101,P,120,5,62.5,0.028,B1,21.3,6359.4,7771.5,0.938
102,P,120,10,5333.3,0.058,E8,19.4,539.1,7756.9,0.971
103,P,120,20,5333.3,0.295,E8,19.4,507.8,7453.1,0.972
104,P,150,0,None,0.0,None,None,515.6,7065.4,0.871
105,P,150,5,74.8,0.029,D2,31.5,11437.5,7687.9,0.946
106,P,150,10,5333.3,0.043,E8,19.4,4718.8,7732.4,0.976
107,P,150,20,5333.3,0.295,E8,19.4,500.0,7433.7,0.978
