i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,S,1,20,4571.4,0.436,D8,-47.5,8929.7,7958.2,0.287
1,S,1,40,4571.4,0.578,D8,-47.5,9062.5,7982.4,0.337
2,S,1,60,4571.4,0.713,D8,-47.5,9070.3,7953.0,0.367
3,S,2,20,8000.0,0.238,B8,21.3,8945.3,8637.3,0.332
4,S,2,40,8000.0,0.385,B8,21.3,9062.5,8395.0,0.351
5,S,2,60,4571.4,0.478,D8,-47.5,9046.9,8240.6,0.379
6,S,3,20,8000.0,0.362,B8,21.3,8882.8,8856.8,0.349
7,S,3,40,8000.0,0.362,B8,21.3,8937.5,8611.4,0.37
8,S,3,60,8000.0,0.464,B8,21.3,9093.8,8443.1,0.372
9,S,5,20,8000.0,0.396,B8,21.3,8851.6,9207.0,0.359
10,S,5,40,8000.0,0.329,B8,21.3,9046.9,8951.2,0.373
11,S,5,60,8000.0,0.355,B8,21.3,8914.1,8871.9,0.375
12,S,1,20,4571.4,0.461,D8,-47.5,9007.8,7877.4,0.291
13,S,1,40,4571.4,0.55,D8,-47.5,8656.2,7796.0,0.33
14,S,1,60,4571.4,0.642,D8,-47.5,9085.9,7898.5,0.353
15,S,2,20,8000.0,0.28,B8,21.3,8781.2,8617.6,0.342
16,S,2,40,8000.0,0.398,B8,21.3,9078.1,8336.8,0.351
17,S,2,60,4571.4,0.453,D8,-47.5,9085.9,8236.1,0.378
18,S,3,20,8000.0,0.37,B8,21.3,8929.7,8818.4,0.343
19,S,3,40,8000.0,0.343,B8,21.3,8859.4,8545.6,0.374
20,S,3,60,8000.0,0.425,B8,21.3,8953.1,8384.2,0.381
21,S,5,20,8000.0,0.399,B8,21.3,8968.8,9181.3,0.356
22,S,5,40,8000.0,0.328,B8,21.3,8984.4,8937.2,0.377
23,S,5,60,8000.0,0.366,B8,21.3,8984.4,8833.3,0.384
24,S,1,20,4571.4,0.426,D8,-47.5,8929.7,7991.1,0.292
25,S,1,40,4571.4,0.592,D8,-47.5,4460.9,7474.1,0.838
26,S,1,60,4571.4,0.648,D8,-47.5,4289.1,7312.8,0.82
27,S,2,20,4571.4,0.159,D8,-47.5,4335.9,7707.5,0.898
28,S,2,40,4571.4,0.357,D8,-47.5,8984.4,7487.2,0.875
29,S,2,60,4571.4,0.475,D8,-47.5,8984.4,7523.6,0.871
30,S,3,20,None,0.0,None,None,10031.2,7666.9,0.929
31,S,3,40,4571.4,0.241,D8,-47.5,8992.2,7838.5,0.907
32,S,3,60,4571.4,0.392,D8,-47.5,9328.1,7716.6,0.882
33,S,5,20,111.5,0.03,A2,23.4,13734.4,7778.5,0.934
34,S,5,40,4571.4,0.111,D8,-47.5,10039.1,7884.9,0.955
35,S,5,60,4571.4,0.203,D8,-47.5,9101.6,7785.7,0.937
