i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,S,1,20,8000.0,0.53,B8,21.3,8960.9,7395.1,0.422
1,S,1,40,8000.0,0.569,B8,21.3,9125.0,6785.5,0.496
2,S,1,60,4571.4,0.639,D8,-47.5,500.0,6400.3,0.508
3,S,2,20,None,0.0,None,None,8945.3,8471.3,0.436
4,S,2,40,8000.0,0.446,B8,21.3,8945.3,7873.7,0.475
5,S,2,60,8000.0,0.538,B8,21.3,9085.9,7416.4,0.527
6,S,3,20,None,0.0,None,None,9000.0,8726.4,0.4
7,S,3,40,8000.0,0.365,B8,21.3,8968.8,8345.5,0.48
8,S,3,60,8000.0,0.443,B8,21.3,9007.8,7914.9,0.519
9,S,5,20,8000.0,0.396,B8,21.3,8914.1,9075.8,0.384
10,S,5,40,8000.0,0.337,B8,21.3,8945.3,8823.9,0.445
11,S,5,60,8000.0,0.377,B8,21.3,9078.1,8700.6,0.476
12,S,1,20,8000.0,0.523,B8,21.3,9117.2,7300.0,0.458
13,S,1,40,8000.0,0.56,B8,21.3,9062.5,6839.6,0.52
14,S,1,60,8000.0,0.663,B8,21.3,500.0,6141.4,0.495
15,S,2,20,8000.0,0.314,B8,21.3,9148.4,8472.9,0.433
16,S,2,40,8000.0,0.461,B8,21.3,8984.4,7895.2,0.488
17,S,2,60,8000.0,0.536,B8,21.3,8992.2,7387.9,0.532
18,S,3,20,None,0.0,None,None,8804.7,8786.5,0.405
19,S,3,40,8000.0,0.33,B8,21.3,8757.8,8354.3,0.485
20,S,3,60,8000.0,0.434,B8,21.3,8906.2,7942.4,0.515
21,S,5,20,8000.0,0.406,B8,21.3,8867.2,9053.4,0.376
22,S,5,40,8000.0,0.335,B8,21.3,8945.3,8838.0,0.457
23,S,5,60,8000.0,0.372,B8,21.3,8937.5,8721.5,0.481
24,S,1,20,8000.0,0.458,B8,21.3,8898.4,7335.6,0.439
25,S,1,40,8000.0,0.572,B8,21.3,9039.1,6614.6,0.491
26,S,1,60,8000.0,0.682,B8,21.3,500.0,6278.4,0.499
27,S,2,20,8000.0,0.303,B8,21.3,8937.5,8386.4,0.448
28,S,2,40,8000.0,0.45,B8,21.3,8968.8,7945.2,0.488
29,S,2,60,8000.0,0.524,B8,21.3,9179.7,7413.7,0.525
30,S,3,20,8000.0,0.313,B8,21.3,8921.9,8766.0,0.39
31,S,3,40,8000.0,0.328,B8,21.3,8929.7,8315.9,0.487
32,S,3,60,8000.0,0.473,B8,21.3,8960.9,7861.9,0.519
33,S,5,20,8000.0,0.402,B8,21.3,9187.5,9101.7,0.382
34,S,5,40,8000.0,0.345,B8,21.3,8914.1,8828.5,0.444
35,S,5,60,8000.0,0.396,B8,21.3,9078.1,8682.9,0.477
