i,type,p1,p2,freq_hz,confidence,note,cents_off,peak_hz,centroid_hz,flatness
0,P,5,0,None,0.0,None,None,2765.6,3420.0,0.466
1,P,5,5,None,0.0,None,None,2750.0,3423.2,0.462
2,P,5,10,None,0.0,None,None,2742.2,3507.4,0.484
3,P,5,20,None,0.0,None,None,2718.8,3872.3,0.55
4,P,10,0,None,0.0,None,None,2742.2,3611.3,0.491
5,P,10,5,None,0.0,None,None,2765.6,4446.9,0.545
6,P,10,10,None,0.0,None,None,4804.7,7164.4,0.287
7,P,10,20,4571.4,0.897,D8,-47.5,4234.4,7144.1,0.307
8,P,20,0,None,0.0,None,None,875.0,3440.6,0.467
9,P,20,5,None,0.0,None,None,8914.1,8578.5,0.274
10,P,20,10,4571.4,0.723,D8,-47.5,9203.1,8299.1,0.276
11,P,20,20,4571.4,0.565,D8,-47.5,10171.9,7730.0,0.291
12,P,30,0,None,0.0,None,None,2742.2,4668.7,0.6
13,P,30,5,8000.0,0.566,B8,21.3,9109.4,8661.0,0.234
14,P,30,10,4571.4,0.296,D8,-47.5,8750.0,8570.0,0.3
15,P,30,20,4571.4,0.473,D8,-47.5,8960.9,7910.3,0.282
16,P,45,0,None,0.0,None,None,8718.8,7331.9,0.506
17,P,45,5,8000.0,0.466,B8,21.3,8953.1,8672.0,0.306
18,P,45,10,8000.0,0.273,B8,21.3,9195.3,8606.2,0.333
19,P,45,20,4571.4,0.429,D8,-47.5,8859.4,8227.2,0.332
20,P,60,0,None,0.0,None,None,8929.7,8427.6,0.306
21,P,60,5,8000.0,0.426,B8,21.3,8703.1,8733.3,0.293
22,P,60,10,8000.0,0.267,B8,21.3,8796.9,8690.3,0.334
23,P,60,20,8000.0,0.358,B8,21.3,8906.2,8229.8,0.343
24,P,90,0,8000.0,0.798,B8,21.3,9203.1,9544.9,0.276
25,P,90,5,8000.0,0.394,B8,21.3,8906.2,8802.9,0.326
26,P,90,10,8000.0,0.336,B8,21.3,8992.2,8724.9,0.358
27,P,90,20,8000.0,0.463,B8,21.3,8851.6,8364.2,0.38
28,P,120,0,8000.0,0.38,B8,21.3,6867.2,9937.9,0.309
29,P,120,5,8000.0,0.395,B8,21.3,8742.2,8946.5,0.337
30,P,120,10,8000.0,0.344,B8,21.3,9164.1,8765.1,0.368
31,P,120,20,8000.0,0.443,B8,21.3,8804.7,8343.5,0.385
32,P,150,0,8000.0,0.222,B8,21.3,13851.6,10391.6,0.338
33,P,150,5,8000.0,0.378,B8,21.3,9000.0,8963.6,0.348
34,P,150,10,8000.0,0.324,B8,21.3,9085.9,8786.2,0.378
35,P,150,20,8000.0,0.44,B8,21.3,8898.4,8414.6,0.395
36,P,5,0,None,0.0,None,None,2742.2,3823.1,0.534
37,P,5,5,None,0.0,None,None,2757.8,3712.1,0.516
38,P,5,10,None,0.0,None,None,2765.6,3717.3,0.515
39,P,5,20,None,0.0,None,None,2742.2,3862.4,0.539
40,P,10,0,None,0.0,None,None,2765.6,3974.0,0.55
41,P,10,5,None,0.0,None,None,2742.2,4864.3,0.59
42,P,10,10,None,0.0,None,None,10210.9,7717.9,0.292
43,P,10,20,4571.4,0.888,D8,-47.5,4304.7,7190.9,0.265
44,P,20,0,None,0.0,None,None,2742.2,4633.3,0.629
45,P,20,5,8000.0,0.947,B8,21.3,8664.1,8510.0,0.249
46,P,20,10,4571.4,0.749,D8,-47.5,8734.4,8288.8,0.294
47,P,20,20,4571.4,0.523,D8,-47.5,9000.0,7469.5,0.287
48,P,30,0,None,0.0,None,None,2765.6,6561.5,0.602
49,P,30,5,8000.0,0.645,B8,21.3,9132.8,8619.4,0.209
50,P,30,10,8000.0,0.361,B8,21.3,8953.1,8367.5,0.29
51,P,30,20,4571.4,0.441,D8,-47.5,8507.8,7618.8,0.275
52,P,45,0,None,0.0,None,None,8648.4,8217.2,0.404
53,P,45,5,8000.0,0.412,B8,21.3,9031.2,8772.4,0.264
54,P,45,10,8000.0,0.282,B8,21.3,8828.1,8545.8,0.322
55,P,45,20,4571.4,0.394,D8,-47.5,9000.0,8183.2,0.343
56,P,60,0,8000.0,0.971,B8,21.3,8585.9,8552.6,0.244
57,P,60,5,8000.0,0.443,B8,21.3,8960.9,8786.7,0.284
58,P,60,10,8000.0,0.301,B8,21.3,8953.1,8540.2,0.326
59,P,60,20,4571.4,0.416,D8,-47.5,8984.4,8151.6,0.347
60,P,90,0,8000.0,0.786,B8,21.3,9062.5,9634.0,0.283
61,P,90,5,8000.0,0.394,B8,21.3,9054.7,8825.5,0.319
62,P,90,10,8000.0,0.342,B8,21.3,8960.9,8673.1,0.363
63,P,90,20,8000.0,0.435,B8,21.3,8843.8,8374.4,0.383
64,P,120,0,4571.4,0.298,D8,-47.5,9257.8,10034.0,0.311
65,P,120,5,8000.0,0.392,B8,21.3,9156.2,8985.5,0.337
66,P,120,10,8000.0,0.335,B8,21.3,8835.9,8784.4,0.38
67,P,120,20,8000.0,0.424,B8,21.3,8937.5,8321.2,0.395
68,P,150,0,2285.7,0.214,D7,-47.5,13320.3,10434.5,0.364
69,P,150,5,8000.0,0.374,B8,21.3,8890.6,9007.4,0.347
70,P,150,10,8000.0,0.348,B8,21.3,8976.6,8722.0,0.381
71,P,150,20,8000.0,0.413,B8,21.3,9007.8,8376.7,0.399
72,P,5,0,None,0.0,None,None,2757.8,3742.1,0.506
73,P,5,5,None,0.0,None,None,2765.6,3779.8,0.519
74,P,5,10,None,0.0,None,None,2742.2,3706.5,0.512
75,P,5,20,None,0.0,None,None,2765.6,3759.5,0.511
76,P,10,0,None,0.0,None,None,2742.2,3806.4,0.534
77,P,10,5,None,0.0,None,None,2757.8,4950.9,0.598
78,P,10,10,None,0.0,None,None,4632.8,6964.2,0.252
79,P,10,20,4571.4,0.926,D8,-47.5,4601.6,6878.0,0.266
80,P,20,0,None,0.0,None,None,2765.6,4175.1,0.575
81,P,20,5,8000.0,0.971,B8,21.3,8835.9,8452.7,0.262
82,P,20,10,4571.4,0.803,D8,-47.5,8859.4,8260.4,0.296
83,P,20,20,4571.4,0.561,D8,-47.5,9078.1,7517.1,0.279
84,P,30,0,None,0.0,None,None,2742.2,5123.9,0.63
85,P,30,5,8000.0,0.558,B8,21.3,9070.3,8477.6,0.249
86,P,30,10,4571.4,0.274,D8,-47.5,9062.5,8375.3,0.309
87,P,30,20,4571.4,0.446,D8,-47.5,8929.7,7728.1,0.272
88,P,45,0,None,0.0,None,None,8796.9,7397.2,0.516
89,P,45,5,8000.0,0.376,B8,21.3,9062.5,8631.2,0.302
90,P,45,10,8000.0,0.284,B8,21.3,9039.1,8530.1,0.33
91,P,45,20,4571.4,0.43,D8,-47.5,9023.4,8100.5,0.34
92,P,60,0,None,0.0,None,None,8914.1,8395.2,0.296
93,P,60,5,8000.0,0.418,B8,21.3,9062.5,8636.9,0.301
94,P,60,10,8000.0,0.24,B8,21.3,9210.9,8536.8,0.345
95,P,60,20,4571.4,0.362,D8,-47.5,9039.1,8204.5,0.357
96,P,90,0,8000.0,0.872,B8,21.3,8687.5,9501.0,0.294
97,P,90,5,8000.0,0.383,B8,21.3,8703.1,8753.9,0.33
98,P,90,10,8000.0,0.319,B8,21.3,8953.1,8652.4,0.362
99,P,90,20,8000.0,0.439,B8,21.3,9046.9,8363.2,0.385
100,P,120,0,4571.4,0.383,D8,-47.5,9265.6,10405.3,0.298
101,P,120,5,8000.0,0.385,B8,21.3,9046.9,8883.9,0.341
102,P,120,10,8000.0,0.353,B8,21.3,9210.9,8683.8,0.377
103,P,120,20,8000.0,0.458,B8,21.3,9015.6,8312.9,0.398
104,P,150,0,8000.0,0.242,B8,21.3,14515.6,10239.2,0.363
105,P,150,5,8000.0,0.394,B8,21.3,9093.8,8947.9,0.355
106,P,150,10,8000.0,0.318,B8,21.3,8929.7,8723.0,0.387
107,P,150,20,8000.0,0.416,B8,21.3,8820.3,8361.9,0.4
